Brand,ID,Type,Branch Name,Town,Postcode,Lat,Long,MonOp,MonCls,TueOp,TueCls,WedOp,WedCls,ThuOp,ThuCls,FriOp,FriCls,SatOp,SatCls,SunOp,SunCls
Lloyds Bank,30919600,Physical,Coventry,Coventry,CV3 5HB,52.394492,-1.506272,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,
Lloyds Bank,77210500,Physical,Kettering,Kettering,NN16 0AH,52.39818,-0.727705,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
Lloyds Bank,30647900,Physical,Ely,Ely,CB7 4EN,52.3996,0.26227,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
Lloyds Bank,77853200,Physical,Maypole,Maypole,B14 5HS,52.407311,-1.887615,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,30923300,Physical,Coventry High St,Coventry,CV1 5RE,52.407336,-1.509908,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,
Lloyds Bank,77855200,Physical,Shirley (West Midlands),Shirley,B90 3AE,52.410346,-1.826645,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,77663900,Physical,Thetford,Thetford,IP24 2AX,52.413845,0.747977,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,13:00,,
Lloyds Bank,30977800,Physical,Solihull,Solihull,B91 3AN,52.414712,-1.778274,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,30961200,Physical,Northfield,Northfield,B31 2NP,52.414739,-1.970859,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,30933300,Physical,Coventry Foleshill Road,Coventry,CV6 5JN,52.429095,-1.499265,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,77852500,Physical,Kings Heath,Kings Heath,B14 7PU,52.431592,-1.893339,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,77850200,Physical,Acocks Green,Acocks Green,B27 6BJ,52.446604,-1.822133,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
Lloyds Bank,30982100,Physical,Stourbridge,Stourbridge,DY8 1DS,52.456666,-2.146248,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
Lloyds Bank,77662000,Physical,Beccles,Beccles,NR34 9HH,52.457146,1.563647,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,77852100,Physical,Harborne,Harborne,B17 9NP,52.459292,-1.948366,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,77857000,Physical,Yardley,Yardley,B25 8UZ,52.466255,-1.810034,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,30845400,Physical,Lowestoft,Lowestoft,NR32 1BL,52.475009,1.751307,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
Lloyds Bank,77851000,Physical,Bordesley Green,None,B9 4SU,52.477066,-1.855812,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,,,,
Lloyds Bank,77151700,Physical,Market Harborough,Market Harborough,LE16 7PA,52.47822,-0.921156,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,13:00,,
Lloyds Bank,30654900,Physical,Birmingham New Street,None,B2 4LP,52.479198,-1.89794,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,
